ID;Domain;Solution;Solution Abb;UC;Catégory;Item;Cash Out Type;Cash In Type;Cash Out;Cash In;ASU Min;ASU MAX;Deploy Price MIN;Deploy Price MAX;Paas;Mark Up
68;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1151 - 1200 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 157 975;1 540 107;1151;1200;1140965;1174985;NA#;33%
69;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1201 - 1250 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 200 500;1 596 665;1201;1250;1183490;1217510;NA#;33%
70;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1251 - 1300 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 243 025;1 653 223;1251;1300;1226015;1260035;NA#;33%
71;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1301 - 1350 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 285 550;1 709 782;1301;1350;1268540;1302560;NA#;33%
72;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1351 - 1400 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 328 075;1 766 340;1351;1400;1311065;1345085;NA#;33%
73;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1401 - 1450 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 370 600;1 822 898;1401;1450;1353590;1387610;NA#;33%
74;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1451 - 1500 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 413 125;1 879 456;1451;1500;1396115;1430135;NA#;33%
75;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1501 - 1550 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 455 650;1 936 015;1501;1550;1438640;1472660;NA#;33%
76;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1551 - 1600 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 498 175;1 992 573;1551;1600;1481165;1515185;NA#;33%
77;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1601 - 1650 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 540 700;2 049 131;1601;1650;1523690;1557710;NA#;33%
78;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1651 - 1700 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 583 225;2 105 689;1651;1700;1566215;1600235;NA#;33%
79;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1701 - 1750 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 625 750;2 162 248;1701;1750;1608740;1642760;NA#;33%
80;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1751 - 1800 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 668 275;2 218 806;1751;1800;1651265;1685285;NA#;33%
81;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1801 - 1850 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 710 800;2 275 364;1801;1850;1693790;1727810;NA#;33%
82;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1851 - 1900 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 753 325;2 331 922;1851;1900;1736315;1770335;NA#;33%
83;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1901 - 1950 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 795 850;2 388 481;1901;1950;1778840;1812860;NA#;33%
84;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1951 - 2000 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 838 375;2 445 039;1951;2000;1821365;1855385;NA#;33%
85;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1 - 50 - PaaS;Opex;Recurring;9 844;13 093;1;50;NA#;NA#;9843,999975;33%
86;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 51 - 100 - PaaS;Opex;Recurring;25 038;33 301;51;100;NA#;NA#;25038;33%
87;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 101 - 150 - PaaS;Opex;Recurring;34 882;46 393;101;150;NA#;NA#;34881,99998;33%
88;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 151 - 200 - PaaS;Opex;Recurring;37 236;49 524;151;200;NA#;NA#;37236;33%
89;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 201 - 250 - PaaS;Opex;Recurring;47 080;62 616;201;250;NA#;NA#;47079,99998;33%
90;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 251 - 300 - PaaS;Opex;Recurring;49 434;65 747;251;300;NA#;NA#;49434;33%
91;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 301 - 350 - PaaS;Opex;Recurring;59 278;78 840;301;350;NA#;NA#;59277,99998;33%
92;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 351 - 400 - PaaS;Opex;Recurring;61 632;81 971;351;400;NA#;NA#;61632;33%
93;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 401 - 450 - PaaS;Opex;Recurring;101 436;134 910;401;450;NA#;NA#;101436;33%
94;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 451 - 500 - PaaS;Opex;Recurring;103 790;138 041;451;500;NA#;NA#;103790;33%
95;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 501 - 550 - PaaS;Opex;Recurring;113 634;151 133;501;550;NA#;NA#;113634;33%
96;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 551 - 600 - PaaS;Opex;Recurring;115 988;154 264;551;600;NA#;NA#;115988;33%
97;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 601 - 650 - PaaS;Opex;Recurring;125 832;167 357;601;650;NA#;NA#;125832;33%
98;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 651 - 700 - PaaS;Opex;Recurring;128 186;170 487;651;700;NA#;NA#;128186;33%
99;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 701 - 750 - PaaS;Opex;Recurring;138 030;183 580;701;750;NA#;NA#;138030;33%
100;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 751 - 800 - PaaS;Opex;Recurring;140 384;186 711;751;800;NA#;NA#;140384;33%
